Designator,Group,MEgA_ID,Comment,Tolerance,Voltage,Power,Footprint,Size,Manufacturer,Assembled,Dry,Fitted
"R26","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R27","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R28","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R29","Proud I1","50678","0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Automat","","Fitted"
"R30","Proud I1","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"R31","Proud I2","50709","56R","1%","75V","","Z0603","0603","","Automat","","Fitted"
"R32","Proud I1","50678","*0R0","1%","75V","0.0625W max. 2A","Z0603","0603","","Neosadit","","Not Fitted"
"V1","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit","","Not Fitted"
"V2","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit","","Not Fitted"
"V3","Proud I1","52330","*CPDUC1V8HT-HF","","1V8/2V3/8V","160W Bi 0.1uA","ZSOD523F","SOD523F-2","CPDUC1V8HT-HF","Neosadit","","Not Fitted"
"V4","MÏniË +5V/-5V","53010","*BSH108","","Uds=30V,Ugs=20V","0.83W, Ic=1.2A","ZSOT23","SOT23","","Automat","","Not Fitted"
"V5","L3 - Napeti","52063","*BAT54BRW","","30V @1V","200mA","ZSOT363","SOT363","BAT54BRW","Neosadit","","Not Fitted"
"V6","L3 - Napeti","52063","*BAT54BRW","","30V @1V","200mA","ZSOT363","SOT363","BAT54BRW","Neosadit","","Not Fitted"
"X1","Proud I1","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit","","Fitted"
"X2","Proud I1","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit","","Fitted"
"X3","Proud I2","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit","","Fitted"
"X4","Proud I2","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit","","Fitted"
"X5","Proud I3","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit","","Fitted"
"X6","Proud I3","90024","*Dira 0.8mm","","","","HOLE_008_P_015","d=0.8/1.5 mm","","Neosadit","","Fitted"
"X7","","81247","DS1126-S80BP","","","","DS1126-S80BP","RJ45","","Manual","","Fitted"
"X8","","90034","*Dira 1.2 mm","","","","HOLE_012_P_022","d=1.2/2.2 mm","","Neosadit","","Fitted"
